"XML Feeds","XML Feeds"
"General & Shared Settings","General & Shared Settings"
"General","General"
"Cron Schedule (all feeds)","Cron Schedule (all feeds)"
"Shared Settings (all feeds)","Shared Settings (all feeds)"
"Unique ID Source","Unique ID Source"
"Product ID (entity_id)","Product ID (entity_id)"
"SKU","SKU"
"Custom Attribute","Custom Attribute"
"Custom Attribute Code","Custom Attribute Code"
"Manufacturer / Brand Attribute","Manufacturer / Brand Attribute"
"MPN Attribute","MPN Attribute"
"EAN / GTIN Attribute","EAN / GTIN Attribute"
"Color Attribute","Color Attribute"
"Size Attribute","Size Attribute"
"Weight Attribute","Weight Attribute"
"Description Source","Description Source"
"Description","Description"
"Short Description","Short Description"
"Meta Description","Meta Description"
"Category Filter Mode","Category Filter Mode"
"All Categories","All Categories"
"Include Selected Only","Include Selected Only"
"Exclude Selected","Exclude Selected"
"Categories","Categories"
"Include Out of Stock","Include Out of Stock"
"Batch Size","Batch Size"
"Default VAT Rate (%)","Default VAT Rate (%)"
"Enable Gzip (> 10 MB)","Enable Gzip (> 10 MB)"
"Skroutz.gr","Skroutz.gr"
"Skroutz Feed","Skroutz Feed"
"Enable Skroutz Feed","Enable Skroutz Feed"
"Feed Filename","Feed Filename"
"Default Availability","Default Availability"
"Skroutz Analytics Tracking","Skroutz Analytics Tracking"
"Enable Analytics","Enable Analytics"
"Shop Account ID","Shop Account ID"
"Google Shopping","Google Shopping"
"Google Feed","Google Feed"
"Enable Google Feed","Enable Google Feed"
"Store Name (channel title)","Store Name (channel title)"
"Default Condition","Default Condition"
"New","New"
"Refurbished","Refurbished"
"Used","Used"
"Taxonomy","Taxonomy"
"Default Google Product Category","Default Google Product Category"
"Apparel Defaults","Apparel Defaults"
"Default Gender","Default Gender"
"-- Not Set --","-- Not Set --"
"Male","Male"
"Female","Female"
"Unisex","Unisex"
"Default Age Group","Default Age Group"
"Newborn","Newborn"
"Infant","Infant"
"Toddler","Toddler"
"Kids","Kids"
"Adult","Adult"
"Shipping","Shipping"
"Shipping Country Code","Shipping Country Code"
"Service Name","Service Name"
"Shipping Price","Shipping Price"
"Facebook / Meta Catalog","Facebook / Meta Catalog"
"Facebook Feed","Facebook Feed"
"Enable Facebook Feed","Enable Facebook Feed"
"Include Rich HTML Description","Include Rich HTML Description"
"Include Quantity (for Shops checkout)","Include Quantity (for Shops checkout)"
"Default Facebook Product Category","Default Facebook Product Category"
"Bestprice.gr","Bestprice.gr"
"Bestprice Feed","Bestprice Feed"
"Enable Bestprice Feed","Enable Bestprice Feed"
"Warranty","Warranty"
"Warranty Provider","Warranty Provider"
"Warranty Duration (months)","Warranty Duration (months)"
"Pricerunner","Pricerunner"
"Pricerunner Feed","Pricerunner Feed"
"Enable Pricerunner Feed","Enable Pricerunner Feed"
"StockStatus Mode","StockStatus Mode"
"Enum (InStock / OutOfStock)","Enum (InStock / OutOfStock)"
"Numeric Quantity","Numeric Quantity"
"Lead Time","Lead Time"
"Default Shipping Cost","Default Shipping Cost"
"-- Please Select --","-- Please Select --"
"Feed is disabled","Feed is disabled"
"Feed file not found. Please generate the feed first.","Feed file not found. Please generate the feed first."
"Unknown feed","Unknown feed"
"XML Feeds Configuration","XML Feeds Configuration"
